"key","status","en_was","en","translation"
"auth.forgot.configBookingsCta","new","","Go to My Bookings","Aller à « Mes réservations »"
"auth.forgot.configSubtitle","new","","Sign-in is still being set up, so reset emails can't be sent yet. Your bookings stay saved on this device — you can also load them by email under My Bookings.","La connexion est encore en cours de configuration, les e-mails de réinitialisation ne peuvent donc pas encore être envoyés. Vos réservations restent enregistrées sur cet appareil — vous pouvez aussi les charger par e-mail dans « Mes réservations »."
"auth.forgot.configTitle","new","","Reset your password","Réinitialiser votre mot de passe"
"book.form.states.guideBody","edited","Status starts as requested; confirmed only after the guide replies.","Status starts as pending; confirmed only after the guide replies.","Le statut démarre « en attente » ; confirmé seulement après la réponse du guide."
"book.form.states.heading","edited","Booking states:","How your request progresses","Ce qu’il advient de votre demande"
"book.form.states.offlineQueue","edited","If you are offline, your request is queued as sync pending and retried automatically.","Offline? Your request is saved on this device and sent automatically when you're back online.","Hors ligne ? Votre demande est enregistrée sur l’appareil et envoyée automatiquement dès le retour de la connexion."
"book.form.states.wineryBody","edited","Status starts as requested; confirmed only after the partner replies.","Status starts as pending; confirmed only after the partner replies.","Le statut démarre « en attente » ; confirmé seulement après la réponse du partenaire."
"book.form.successUnverified","new","","We've saved your request under My bookings. To be sure of your date, also contact the {context} directly — no payment is taken in-app.","Votre demande est enregistrée dans vos réservations. Par sécurité, contactez aussi directement le {context} — aucun paiement ne se fait dans l’app."
"book.form.trust.emailConfirm","edited","The partner usually confirms by email within 24 hours.","The partner usually confirms by email within 24–48 hours on weekdays.","Le partenaire confirme généralement par e-mail sous 24–48 h en semaine."
"book.form.trust.requestLoggedFallback","new","","Your request is saved here right away — to be sure of your date, also arrange it with the {context} directly.","Votre demande est enregistrée ici immédiatement — par sécurité, organisez-la aussi directement avec le {context}."
"book.form.trust.verifiedRoute","edited","","Verified {context} request route.","Canal de demande vérifié — {context}."
"book.guideForm.errors.offlineDropped","new","","Your saved request couldn't be sent — the server rejected it. Please check your details and submit again.","Votre demande enregistrée n’a pas pu être envoyée — le serveur l’a refusée. Vérifiez vos informations et renvoyez-la."
"book.guideForm.success.nextStep1","edited","We save your request and email you a copy when delivery is available.","We save your request straight away and email you a copy once email sending is enabled.","Nous enregistrons votre demande immédiatement et vous en envoyons une copie par e-mail dès que l’envoi d’e-mails est actif."
"book.pages.guideDetail.directoryFallback","new","","Need direct contact details? Licensed guides are listed with phone numbers in the official guides directory.","Besoin d’un contact direct ? Les guides agréés figurent avec leurs numéros dans l’annuaire officiel des guides."
"book.pages.guideDetail.directoryFallbackLink","new","","Open the guides directory →","Ouvrir l’annuaire des guides →"
"book.pages.guideList.meta.description","edited","Guided winter hikes in Troodos, Paphos, and Akamas. Local guides for Artemis, Caledonia Falls, Adonis, and more. Small groups, winter expertise. Book ahead and they'll confirm by email.","Guided winter hikes in Troodos, Paphos, and Akamas. Local guides for Artemis, Caledonia Falls, Adonis and more. Small groups, winter expertise. Book ahead.","Randonnées guidées d’hiver à Troodos, Paphos et Akamas : Artemis, Caledonia Falls, Adonis. Petits groupes, connaissance de l’hiver. Réservez à l’avance."
"book.pages.wineryList.intro","edited","Browse our partner wineries and request a tasting. They'll confirm by email — usually within a day.","Browse our partner wineries and request a tasting. They'll confirm by email — usually within 24–48 hours on weekdays.","Parcourez nos domaines partenaires et demandez une dégustation. Ils confirment par e-mail — en général sous 24–48 h en semaine."
"book.pages.wineryList.meta.description","edited","Browse verified Cyprus wineries and book a winter tasting. Cosy fires, the owner pouring, small groups. Book ahead — winter weekends fill.","Browse curated Cyprus wineries and book a winter tasting. Cosy fires, the owner pouring, small groups. Book ahead — winter weekends fill.","Parcourez les domaines partenaires à Chypre et réservez une dégustation d’hiver. Feu douillet, petits groupes — les week-ends d’hiver se remplissent vite."
"book.wineryForm.errors.offlineDropped","new","","Your saved request couldn't be sent — the server rejected it. Please check your details and submit again.","Votre demande enregistrée n’a pas pu être envoyée — le serveur l’a refusée. Vérifiez vos informations et renvoyez-la."
"book.wineryForm.hints.offSeasonHours","new","","Call ahead Nov–Mar — hours are often shorter off-season.","Appelez avant votre visite (nov–mars) — hors saison, les horaires sont souvent réduits."
"book.wineryForm.success.nextStep1","edited","We save your request and email you a copy when delivery is available.","We save your request straight away and email you a copy once email sending is enabled.","Nous enregistrons votre demande immédiatement et vous en envoyons une copie par e-mail dès que l’envoi d’e-mails est actif."
"bookings.page.cancel.button","new","","Cancel request","Annuler la demande"
"bookings.page.cancel.confirmBody","new","","Cancel this request to {provider}? This can't be undone.","Annuler cette demande à {provider} ? Cette action est irréversible."
"bookings.page.cancel.confirmYes","new","","Yes, cancel","Oui, annuler"
"bookings.page.cancel.errorConflict","new","","This booking just changed. Refresh to see its current state.","Cette réservation vient de changer. Actualisez pour voir son état actuel."
"bookings.page.cancel.errorFailed","new","","Could not cancel. Try again in a moment.","Annulation impossible. Réessayez dans un instant."
"bookings.page.cancel.keep","new","","Keep request","Garder la demande"
"bookings.page.cancel.success","new","","Request cancelled.","Demande annulée."
"bookings.page.cancelHint","new","","Plans changed? Cancel any request right on its card below — no charge. For date changes, use “Request a change”.","Changement de plans ? Annulez toute demande directement sur sa carte ci-dessous — sans frais. Pour changer de date, utilisez « Demander une modification »."
"bookings.page.cta.addToCalendar","new","","Add to calendar","Ajouter au calendrier"
"bookings.page.cta.modify","edited","Modify","Request a change","Demander une modification"
"bookings.page.cta.viewTrail","new","","View trail","Voir le sentier"
"bookings.page.ics.guidedHike","new","","guided hike","randonnée guidée"
"bookings.page.ics.tasting","new","","wine tasting","dégustation de vin"
"bookings.page.sync.toggle","edited","Booked on another device? Load by email","Check for confirmation updates — or load bookings by email","Vérifier les confirmations — ou charger les réservations par e-mail"
"common.aria.addedToPlan","new","","Added to your plan.","Ajouté à votre plan."
"common.aria.placeCard","new","","{name} — {type}, {region}","{name} — {type}, {region}"
"common.aria.placeCardImageAlt","new","","{name}, {region} — in Cyprus winter light","{name}, {region} — dans la lumière d’hiver de Chypre"
"common.cookies.srAnnounce","new","","Cookie notice: choose Accept or Essential only at the bottom of the screen.","Avis cookies : choisissez Accepter ou Essentiel seulement en bas de l’écran."
"common.fromPrice","new","","from €{price}","à partir de {price} €"
"common.hubFilter.all","new","","All regions","Toutes les régions"
