"key","status","en_was","en","translation"
"auth.forgot.configBookingsCta","new","","Go to My Bookings","Mergi la „Rezervările mele”"
"auth.forgot.configSubtitle","new","","Sign-in is still being set up, so reset emails can't be sent yet. Your bookings stay saved on this device — you can also load them by email under My Bookings.","Autentificarea este încă în curs de configurare, așa că e-mailurile de resetare nu pot fi trimise deocamdată. Rezervările rămân salvate pe acest dispozitiv — le puteți încărca și prin e-mail în „Rezervările mele”."
"auth.forgot.configTitle","new","","Reset your password","Resetează-ți parola"
"book.form.states.guideBody","edited","Status starts as requested; confirmed only after the guide replies.","Status starts as pending; confirmed only after the guide replies.","Starea începe ca „în așteptare”; se confirmă doar după răspunsul ghidului."
"book.form.states.heading","edited","Booking states:","How your request progresses","Ce se întâmplă cu cererea dvs."
"book.form.states.offlineQueue","edited","If you are offline, your request is queued as sync pending and retried automatically.","Offline? Your request is saved on this device and sent automatically when you're back online.","Sunteți offline? Cererea se salvează pe dispozitiv și se trimite automat când reveniți online."
"book.form.states.wineryBody","edited","Status starts as requested; confirmed only after the partner replies.","Status starts as pending; confirmed only after the partner replies.","Starea începe ca „în așteptare”; se confirmă doar după răspunsul partenerului."
"book.form.successUnverified","new","","We've saved your request under My bookings. To be sure of your date, also contact the {context} directly — no payment is taken in-app.","Ți-am salvat cererea în rezervările tale. Pentru siguranța datei, contactează și direct partenerul — nu se face nicio plată în aplicație."
"book.form.trust.emailConfirm","edited","The partner usually confirms by email within 24 hours.","The partner usually confirms by email within 24–48 hours on weekdays.","Partenerul confirmă de obicei prin email în 24–48 de ore, în zilele lucrătoare."
"book.form.trust.requestLoggedFallback","new","","Your request is saved here right away — to be sure of your date, also arrange it with the {context} directly.","Cererea ta se salvează aici imediat — pentru a-ți garanta data, aranjează și direct cu partenerul."
"book.guideForm.errors.offlineDropped","new","","Your saved request couldn't be sent — the server rejected it. Please check your details and submit again.","Cererea salvată nu a putut fi trimisă — serverul a respins-o. Verificați datele și retrimiteți."
"book.guideForm.success.nextStep1","edited","We save your request and email you a copy when delivery is available.","We save your request straight away and email you a copy once email sending is enabled.","Salvăm cererea imediat și vă trimitem o copie pe e-mail de îndată ce trimiterea e-mailurilor este activă."
"book.pages.guideDetail.directoryFallback","new","","Need direct contact details? Licensed guides are listed with phone numbers in the official guides directory.","Ai nevoie de date de contact directe? Ghizii licențiați sunt listați cu numere de telefon în directorul oficial al ghizilor."
"book.pages.guideDetail.directoryFallbackLink","new","","Open the guides directory →","Deschide directorul ghizilor →"
"book.pages.guideList.meta.description","edited","Guided winter hikes in Troodos, Paphos, and Akamas. Local guides for Artemis, Caledonia Falls, Adonis, and more. Small groups, winter expertise. Book ahead and they'll confirm by email.","Guided winter hikes in Troodos, Paphos, and Akamas. Local guides for Artemis, Caledonia Falls, Adonis and more. Small groups, winter expertise. Book ahead.","Drumeții ghidate de iarnă în Troodos, Paphos și Akamas: Artemis, Caledonia Falls, Adonis. Grupuri mici, experiență de iarnă. Rezervă din timp."
"book.pages.wineryList.intro","edited","Browse our partner wineries and request a tasting. They'll confirm by email — usually within a day.","Browse our partner wineries and request a tasting. They'll confirm by email — usually within 24–48 hours on weekdays.","Răsfoiește cramele partenere și cere o degustare. Vor confirma pe email — de obicei în 24–48 de ore, în zilele lucrătoare."
"book.pages.wineryList.meta.description","edited","Browse verified Cyprus wineries and book a winter tasting. Cosy fires, the owner pouring, small groups. Book ahead — winter weekends fill.","Browse curated Cyprus wineries and book a winter tasting. Cosy fires, the owner pouring, small groups. Book ahead — winter weekends fill.","Răsfoiește crame selectate din Cipru și rezervă o degustare de iarnă. Focuri calde, proprietarul toarnă, grupuri mici. Rezervă din timp — weekendurile de iarnă se umplu."
"book.wineryForm.errors.offlineDropped","new","","Your saved request couldn't be sent — the server rejected it. Please check your details and submit again.","Cererea salvată nu a putut fi trimisă — serverul a respins-o. Verificați datele și retrimiteți."
"book.wineryForm.hints.offSeasonHours","new","","Call ahead Nov–Mar — hours are often shorter off-season.","Sună înainte (nov–mar) — în extrasezon programul e adesea mai scurt."
"book.wineryForm.success.nextStep1","edited","We save your request and email you a copy when delivery is available.","We save your request straight away and email you a copy once email sending is enabled.","Salvăm cererea imediat și vă trimitem o copie pe e-mail de îndată ce trimiterea e-mailurilor este activă."
"bookings.page.cancel.button","new","","Cancel request","Anulați cererea"
"bookings.page.cancel.confirmBody","new","","Cancel this request to {provider}? This can't be undone.","Anulați cererea către {provider}? Acest lucru nu poate fi anulat ulterior."
"bookings.page.cancel.confirmYes","new","","Yes, cancel","Da, anulați"
"bookings.page.cancel.errorConflict","new","","This booking just changed. Refresh to see its current state.","Această rezervare tocmai s-a schimbat. Reîmprospătați pentru starea curentă."
"bookings.page.cancel.errorFailed","new","","Could not cancel. Try again in a moment.","Anularea nu a reușit. Încercați din nou peste puțin timp."
"bookings.page.cancel.keep","new","","Keep request","Păstrați cererea"
"bookings.page.cancel.success","new","","Request cancelled.","Cererea a fost anulată."
"bookings.page.cancelHint","new","","Plans changed? Cancel any request right on its card below — no charge. For date changes, use “Request a change”.","S-au schimbat planurile? Anulați orice cerere direct pe cardul ei de mai jos — fără costuri. Pentru schimbarea datei, folosiți „Cereți o modificare”."
"bookings.page.cta.addToCalendar","new","","Add to calendar","Adaugă în calendar"
"bookings.page.cta.modify","edited","Modify","Request a change","Cere o modificare"
"bookings.page.cta.viewTrail","new","","View trail","Vezi traseul"
"bookings.page.ics.guidedHike","new","","guided hike","drumeție ghidată"
"bookings.page.ics.tasting","new","","wine tasting","degustare de vin"
"bookings.page.sync.toggle","edited","Booked on another device? Load by email","Check for confirmation updates — or load bookings by email","Verifică confirmările — sau încarcă rezervările prin email"
"common.aria.addedToPlan","new","","Added to your plan.","Adăugat în planul tău."
"common.aria.placeCard","new","","{name} — {type}, {region}","{name} — {type}, {region}"
"common.aria.placeCardImageAlt","new","","{name}, {region} — in Cyprus winter light","{name}, {region} — în lumina iernii din Cipru"
"common.cookies.srAnnounce","new","","Cookie notice: choose Accept or Essential only at the bottom of the screen.","Notificare cookie: alegeți Acceptă sau Doar esențiale în partea de jos a ecranului."
"common.fromPrice","new","","from €{price}","de la {price} €"
"common.hubFilter.all","new","","All regions","Toate regiunile"
"common.hubFilter.aria","new","","Filter by region","Filtrează după regiune"
"common.hubFilter.showing","new","","{count} of {total} shown","{count} din {total} afișate"
"common.localeBetaHint","new","","Beta languages: some content may still appear in English.","Limbi beta: o parte din conținut poate apărea încă în engleză."
"common.localeSuggest.aria","new","","Language suggestion","Sugestie de limbă"
"common.localeSuggest.body","new","","This page is also available in English.","Această pagină este disponibilă și în română."
"common.localeSuggest.cta","new","","Switch to English","Treci la română"
"common.localeSuggest.dismiss","new","","Dismiss","Închide"
"common.localeSwitchHeading","new","","Language","Limbă"
"common.skipTo.map","new","","Skip to map","Salt la hartă"
