"key","status","en_was","en","translation"
"auth.forgot.configBookingsCta","new","","Go to My Bookings","Zu „Meine Buchungen“"
"auth.forgot.configSubtitle","new","","Sign-in is still being set up, so reset emails can't be sent yet. Your bookings stay saved on this device — you can also load them by email under My Bookings.","Die Anmeldung wird noch eingerichtet, daher können noch keine E-Mails zum Zurücksetzen versendet werden. Ihre Anfragen bleiben auf diesem Gerät gespeichert — unter „Meine Buchungen“ können Sie sie auch per E-Mail laden."
"auth.forgot.configTitle","new","","Reset your password","Passwort zurücksetzen"
"beaches.page.meta.description","edited","","Best beaches in Cyprus winter: Nissi Beach, Coral Bay, Konnos Bay. Empty sand, golden light. Winter walks, no crowds. Sixteen degrees when home is six. Plan your visit. Free.","Zyperns beste Winterstrände: Nissi Beach, Coral Bay, Konnos Bay. Leerer Sand, goldenes Licht, Spaziergänge ohne Trubel. Sechzehn Grad, wenn daheim sechs sind."
"book.form.states.guideBody","edited","Status starts as requested; confirmed only after the guide replies.","Status starts as pending; confirmed only after the guide replies.","Der Status beginnt als „ausstehend“; bestätigt erst nach Antwort des Guides."
"book.form.states.heading","edited","Booking states:","How your request progresses","So geht es mit Ihrer Anfrage weiter"
"book.form.states.offlineQueue","edited","If you are offline, your request is queued as sync pending and retried automatically.","Offline? Your request is saved on this device and sent automatically when you're back online.","Offline? Ihre Anfrage wird auf dem Gerät gespeichert und automatisch gesendet, sobald Sie wieder online sind."
"book.form.states.wineryBody","edited","Status starts as requested; confirmed only after the partner replies.","Status starts as pending; confirmed only after the partner replies.","Der Status beginnt als „ausstehend“; bestätigt erst nach Antwort des Partners."
"book.form.successUnverified","new","","We've saved your request under My bookings. To be sure of your date, also contact the {context} directly — no payment is taken in-app.","Wir haben Ihre Anfrage unter Ihren Buchungen gespeichert. Um Ihren Termin zu sichern, kontaktieren Sie zusätzlich den {context} direkt — in der App wird nichts bezahlt."
"book.form.trust.emailConfirm","edited","The partner usually confirms by email within 24 hours.","The partner usually confirms by email within 24–48 hours on weekdays.","Der Partner bestätigt in der Regel per E-Mail innerhalb von 24–48 Stunden an Werktagen."
"book.form.trust.requestLoggedFallback","new","","Your request is saved here right away — to be sure of your date, also arrange it with the {context} directly.","Ihre Anfrage wird sofort hier gespeichert — um den Termin zu sichern, vereinbaren Sie ihn zusätzlich direkt mit dem {context}."
"book.form.trust.verifiedRoute","edited","","Verified {context} request route.","Geprüfter Anfrageweg zum {context}."
"book.guideForm.errors.offlineDropped","new","","Your saved request couldn't be sent — the server rejected it. Please check your details and submit again.","Ihre gespeicherte Anfrage konnte nicht gesendet werden — der Server hat sie abgelehnt. Bitte prüfen Sie die Angaben und senden Sie sie erneut."
"book.guideForm.success.nextStep1","edited","We save your request and email you a copy when delivery is available.","We save your request straight away and email you a copy once email sending is enabled.","Wir speichern Ihre Anfrage sofort und senden Ihnen eine Kopie per E-Mail, sobald der E-Mail-Versand aktiv ist."
"book.pages.guideDetail.directoryFallback","new","","Need direct contact details? Licensed guides are listed with phone numbers in the official guides directory.","Sie brauchen direkte Kontaktdaten? Lizenzierte Guides stehen mit Telefonnummern im offiziellen Guide-Verzeichnis."
"book.pages.guideDetail.directoryFallbackLink","new","","Open the guides directory →","Zum Guide-Verzeichnis →"
"book.pages.guideList.meta.description","edited","Guided winter hikes in Troodos, Paphos, and Akamas. Local guides for Artemis, Caledonia Falls, Adonis, and more. Small groups, winter expertise. Book ahead and they'll confirm by email.","Guided winter hikes in Troodos, Paphos, and Akamas. Local guides for Artemis, Caledonia Falls, Adonis and more. Small groups, winter expertise. Book ahead.","Geführte Winterwanderungen in Troodos, Paphos und Akamas. Lokale Guides für Artemis, Caledonia Falls, Adonis. Kleine Gruppen, Winter-Know-how."
"book.pages.wineryList.intro","edited","Browse our partner wineries and request a tasting. They'll confirm by email — usually within a day.","Browse our partner wineries and request a tasting. They'll confirm by email — usually within 24–48 hours on weekdays.","Stöbern Sie durch unsere Partnerweingüter und fragen Sie eine Verkostung an. Bestätigung per E‑Mail — meist innerhalb von 24–48 Stunden an Werktagen."
"book.pages.wineryList.meta.description","edited","Browse verified Cyprus wineries and book a winter tasting. Cosy fires, the owner pouring, small groups. Book ahead — winter weekends fill.","Browse curated Cyprus wineries and book a winter tasting. Cosy fires, the owner pouring, small groups. Book ahead — winter weekends fill.","Ausgewählte zyprische Weingüter entdecken und eine Winterverkostung buchen. Kaminfeuer, der Besitzer schenkt ein, kleine Gruppen. Im Voraus buchen — Winterwochenenden sind beliebt."
"book.wineryForm.errors.offlineDropped","new","","Your saved request couldn't be sent — the server rejected it. Please check your details and submit again.","Ihre gespeicherte Anfrage konnte nicht gesendet werden — der Server hat sie abgelehnt. Bitte prüfen Sie die Angaben und senden Sie sie erneut."
"book.wineryForm.hints.offSeasonHours","new","","Call ahead Nov–Mar — hours are often shorter off-season.","Nov–Mär vorher anrufen — außerhalb der Saison sind die Öffnungszeiten oft kürzer."
"book.wineryForm.success.nextStep1","edited","We save your request and email you a copy when delivery is available.","We save your request straight away and email you a copy once email sending is enabled.","Wir speichern Ihre Anfrage sofort und senden Ihnen eine Kopie per E-Mail, sobald der E-Mail-Versand aktiv ist."
"bookings.page.cancel.button","new","","Cancel request","Anfrage stornieren"
"bookings.page.cancel.confirmBody","new","","Cancel this request to {provider}? This can't be undone.","Diese Anfrage an {provider} stornieren? Das lässt sich nicht rückgängig machen."
"bookings.page.cancel.confirmYes","new","","Yes, cancel","Ja, stornieren"
"bookings.page.cancel.errorConflict","new","","This booking just changed. Refresh to see its current state.","Diese Buchung hat sich gerade geändert. Aktualisieren Sie die Seite."
"bookings.page.cancel.errorFailed","new","","Could not cancel. Try again in a moment.","Stornieren nicht möglich. Versuchen Sie es gleich noch einmal."
"bookings.page.cancel.keep","new","","Keep request","Anfrage behalten"
"bookings.page.cancel.success","new","","Request cancelled.","Anfrage storniert."
"bookings.page.cancelHint","new","","Plans changed? Cancel any request right on its card below — no charge. For date changes, use “Request a change”.","Pläne geändert? Stornieren Sie jede Anfrage direkt auf ihrer Karte unten — kostenfrei. Für Terminänderungen nutzen Sie „Änderung anfragen“."
"bookings.page.cta.addToCalendar","new","","Add to calendar","Zum Kalender hinzufügen"
